xyz:time = ,435365.99900, pos = ,-2171457.33221,4386114.35047,4076275.54633
LLA:time = ,435365.99900, pos = ,116.33888,39.97954,47.00231
xyz:time = ,435366.99900, pos = ,-2171458.27669,4386115.16784,4076276.65661
LLA:time = ,435366.99900, pos = ,116.33889,39.97954,48.59809
xyz:time = ,435367.99900, pos = ,-2171459.58173,4386115.80880,4076277.29481
LLA:time = ,435367.99900, pos = ,116.33890,39.97954,49.89199
xyz:time = ,435368.99900, pos = ,-2171459.93041,4386116.20125,4076277.27879
LLA:time = ,435368.99900, pos = ,116.33890,39.97954,50.26975
xyz:time = ,435369.99900, pos = ,-2171458.96334,4386115.90944,4076276.73486
LLA:time = ,435369.99900, pos = ,116.33889,39.97954,49.39109
xyz:time = ,435370.99900, pos = ,-2171459.18358,4386116.16325,4076276.86103
LLA:time = ,435370.99900, pos = ,116.33889,39.97954,49.72133
xyz:time = ,435371.99900, pos = ,-2171460.09964,4386117.04238,4076277.29403
LLA:time = ,435371.99900, pos = ,116.33890,39.97953,50.91470
xyz:time = ,435372.99900, pos = ,-2171458.79715,4386116.11658,4076276.46771
LLA:time = ,435372.99900, pos = ,116.33889,39.97954,49.30519
xyz:time = ,435373.99900, pos = ,-2171458.81866,4386116.19437,4076276.56812
LLA:time = ,435373.99900, pos = ,116.33889,39.97954,49.43044
xyz:time = ,435374.99900, pos = ,-2171459.95682,4386116.82184,4076277.50485
LLA:time = ,435374.99900, pos = ,116.33889,39.97954,50.85015
xyz:time = ,435375.99900, pos = ,-2171460.61547,4386117.20275,4076278.05532
LLA:time = ,435375.99900, pos = ,116.33890,39.97954,51.68934
xyz:time = ,435376.99900, pos = ,-2171459.92801,4386116.57723,4076277.52981
LLA:time = ,435376.99900, pos = ,116.33890,39.97954,50.68841
xyz:time = ,435377.99900, pos = ,-2171459.53550,4386116.36863,4076277.21427
LLA:time = ,435377.99900, pos = ,116.33889,39.97954,50.20897
xyz:time = ,435378.99900, pos = ,-2171458.82303,4386115.78588,4076276.59074
LLA:time = ,435378.99900, pos = ,116.33889,39.97954,49.16594
xyz:time = ,435379.99900, pos = ,-2171458.74864,4386116.02750,4076276.31998
LLA:time = ,435379.99900, pos = ,116.33889,39.97954,49.13260
xyz:time = ,435380.99900, pos = ,-2171460.08798,4386116.42446,4076277.31661
LLA:time = ,435380.99900, pos = ,116.33890,39.97954,50.50090
xyz:time = ,435381.99900, pos = ,-2171460.37236,4386116.50535,4076277.46721
LLA:time = ,435381.99900, pos = ,116.33890,39.97954,50.74989
xyz:time = ,435382.99900, pos = ,-2171460.47022,4386116.77709,4076277.60126
LLA:time = ,435382.99900, pos = ,116.33890,39.97954,51.05591
xyz:time = ,435383.99900, pos = ,-2171461.34559,4386117.36048,4076278.12173
LLA:time = ,435383.99900, pos = ,116.33891,39.97954,52.08855
xyz:time = ,435384.99900, pos = ,-2171460.25145,4386116.46499,4076277.40429
LLA:time = ,435384.99900, pos = ,116.33890,39.97954,50.64065
xyz:time = ,435385.99900, pos = ,-2171460.58553,4386116.80143,4076277.76973
LLA:time = ,435385.99900, pos = ,116.33890,39.97954,51.22007
xyz:time = ,435386.99900, pos = ,-2171460.17090,4386116.36441,4076277.58712
LLA:time = ,435386.99900, pos = ,116.33890,39.97954,50.66166
xyz:time = ,435387.99900, pos = ,-2171459.57102,4386115.77329,4076277.17433
LLA:time = ,435387.99900, pos = ,116.33890,39.97954,49.78656
xyz:time = ,435388.99900, pos = ,-2171459.75856,4386115.62561,4076277.30892
LLA:time = ,435388.99900, pos = ,116.33890,39.97954,49.83537
xyz:time = ,435389.99900, pos = ,-2171458.86346,4386114.85683,4076276.69898
LLA:time = ,435389.99900, pos = ,116.33889,39.97955,48.61122
xyz:time = ,435390.99900, pos = ,-2171460.71361,4386116.12590,4076278.02704
LLA:time = ,435390.99900, pos = ,116.33891,39.97954,50.96504
xyz:time = ,435391.99900, pos = ,-2171462.22903,4386116.57081,4076278.70854
LLA:time = ,435391.99900, pos = ,116.33892,39.97954,52.22365
xyz:time = ,435392.99900, pos = ,-2171462.97575,4386117.00303,4076279.39306
LLA:time = ,435392.99900, pos = ,116.33893,39.97954,53.21415
xyz:time = ,435393.99900, pos = ,-2171463.67720,4386117.07694,4076279.76285
LLA:time = ,435393.99900, pos = ,116.33893,39.97954,53.74098
xyz:time = ,435394.99900, pos = ,-2171463.77411,4386117.02744,4076279.85902
LLA:time = ,435394.99900, pos = ,116.33893,39.97954,53.80173
xyz:time = ,435395.99900, pos = ,-2171463.69057,4386117.06347,4076279.78023
LLA:time = ,435395.99900, pos = ,116.33893,39.97954,53.74745
xyz:time = ,435396.99900, pos = ,-2171463.15028,4386116.56216,4076279.39199
LLA:time = ,435396.99900, pos = ,116.33893,39.97954,52.97004
xyz:time = ,435397.99900, pos = ,-2171462.20453,4386116.36125,4076279.75420
LLA:time = ,435397.99900, pos = ,116.33892,39.97955,52.74326
xyz:time = ,435398.99900, pos = ,-2171462.57888,4386116.09869,4076279.13559
LLA:time = ,435398.99900, pos = ,116.33893,39.97955,52.29276
xyz:time = ,435399.99900, pos = ,-2171460.30923,4386114.57495,4076276.36936
LLA:time = ,435399.99900, pos = ,116.33891,39.97954,48.69740
xyz:time = ,435400.99900, pos = ,-2171459.24948,4386113.68995,4076275.59984
LLA:time = ,435400.99900, pos = ,116.33890,39.97954,47.23493
xyz:time = ,435401.99900, pos = ,-2171458.79910,4386113.13441,4076275.30512
LLA:time = ,435401.99900, pos = ,116.33890,39.97954,46.51094
xyz:time = ,435402.99900, pos = ,-2171460.41472,4386114.83733,4076277.72771
LLA:time = ,435402.99900, pos = ,116.33891,39.97955,49.78621
xyz:time = ,435403.99900, pos = ,-2171458.17714,4386113.33364,4076275.19464
LLA:time = ,435403.99900, pos = ,116.33889,39.97954,46.36532
xyz:time = ,435404.99900, pos = ,-2171457.11408,4386112.63619,4076274.25037
